mut_id	depth1	S1	depth2	S2	depth3	S3	depth4	S4	depth5	S5	depth6	S6	depth7	S7	depth8	S8	depth9	S9	depth10	S10	depth11	S11	depth12	S12	depth13	S13	depth14	S14	depth15	S15	depth16	S16	depth17	S17	depth18	S18	depth19	S19	depth20	S20	
-0	211	0.5260663507109005	129	0.5891472868217055	127	0.5354330708661418	69	0.5362318840579711	343	0.5247813411078717	234	0.47863247863247865	37	0.4864864864864865	309	0.4919093851132686	84	0.47619047619047616	216	0.5601851851851852	189	0.5132275132275133	102	0.47058823529411764	92	0.4673913043478261	139	0.460431654676259	53	0.5094339622641509	116	0.45689655172413796	141	0.5602836879432624	36	0.5555555555555556	32	0.46875	83	0.46987951807228917	
-1	209	0.4784688995215311	348	0.5258620689655172	156	0.5448717948717948	49	0.4489795918367347	42	0.5	18	0.3888888888888889	264	0.5227272727272727	199	0.4472361809045226	89	0.5730337078651685	75	0.49333333333333335	246	0.516260162601626	47	0.5106382978723404	50	0.58	109	0.43119266055045874	104	0.4423076923076923	113	0.4336283185840708	79	0.6075949367088608	45	0.5333333333333333	151	0.5960264900662252	464	0.5301724137931034	
-2	115	0.4956521739130435	39	0.5128205128205128	57	0.47368421052631576	57	0.5263157894736842	64	0.5625	22	0.6818181818181818	51	0.5294117647058824	145	0.5103448275862069	215	0.46511627906976744	262	0.5381679389312977	54	0.48148148148148145	80	0.5	57	0.45614035087719296	88	0.4318181818181818	68	0.5441176470588235	104	0.5384615384615384	122	0.48360655737704916	68	0.4117647058823529	79	0.4810126582278481	29	0.5172413793103449	
-3	134	0.47761194029850745	57	0.543859649122807	39	0.48717948717948717	155	0.47096774193548385	67	0.6268656716417911	66	0.5303030303030303	67	0.582089552238806	242	0.5495867768595041	206	0.49029126213592233	123	0.5284552845528455	60	0.5166666666666667	143	0.5174825174825175	55	0.43636363636363634	77	0.38961038961038963	56	0.42857142857142855	93	0.5483870967741935	247	0.46153846153846156	137	0.5255474452554745	75	0.5333333333333333	162	0.46296296296296297	
-4	39	0.46153846153846156	92	0.5	64	0.609375	38	0.42105263157894735	56	0.44642857142857145	107	0.5233644859813084	61	0.5573770491803278	29	0.41379310344827586	66	0.5303030303030303	178	0.46629213483146065	66	0.42424242424242425	167	0.47904191616766467	124	0.5483870967741935	154	0.5	103	0.4854368932038835	202	0.43564356435643564	58	0.3620689655172414	16	0.5625	61	0.5081967213114754	119	0.5210084033613446	
-5	53	0.6226415094339622	20	0.6	124	0.532258064516129	106	0.5471698113207547	106	0.4339622641509434	43	0.4883720930232558	52	0.5192307692307693	100	0.48	49	0.4489795918367347	85	0.38823529411764707	200	0.475	179	0.5307262569832403	39	0.41025641025641024	36	0.4722222222222222	273	0.5201465201465202	67	0.5671641791044776	19	0.5263157894736842	120	0.4583333333333333	87	0.6091954022988506	116	0.47413793103448276	
-6	241	0.43568464730290457	97	0.5567010309278351	114	0.42105263157894735	43	0.37209302325581395	115	0.5304347826086957	146	0.5068493150684932	70	0.5285714285714286	220	0.509090909090909	59	0.3728813559322034	39	0.5897435897435898	165	0.5757575757575758	56	0.5714285714285714	39	0.5641025641025641	361	0.518005540166205	172	0.47093023255813954	40	0.475	99	0.494949494949495	133	0.41353383458646614	126	0.6031746031746031	130	0.5538461538461539	
-7	92	0.44565217391304346	134	0.4925373134328358	152	0.4605263157894737	83	0.4457831325301205	16	0.625	28	0.6785714285714286	24	0.375	59	0.559322033898305	41	0.5365853658536586	29	0.5862068965517241	59	0.5084745762711864	86	0.5581395348837209	142	0.6056338028169014	227	0.47577092511013214	91	0.4835164835164835	244	0.5327868852459017	156	0.46153846153846156	83	0.5301204819277109	215	0.4558139534883721	133	0.42857142857142855	
-8	84	0.5238095238095238	57	0.40350877192982454	63	0.5238095238095238	37	0.43243243243243246	86	0.5116279069767442	24	0.625	26	0.34615384615384615	221	0.5113122171945701	72	0.4861111111111111	219	0.5205479452054794	161	0.546583850931677	19	0.47368421052631576	17	0.5294117647058824	252	0.503968253968254	59	0.5084745762711864	40	0.5	81	0.5061728395061729	67	0.6119402985074627	60	0.5666666666666667	329	0.49544072948328266	
-9	47	0.44680851063829785	52	0.5769230769230769	68	0.39705882352941174	84	0.4642857142857143	56	0.5892857142857143	35	0.5142857142857142	74	0.4189189189189189	63	0.4444444444444444	135	0.4740740740740741	46	0.5217391304347826	75	0.49333333333333335	206	0.5339805825242718	122	0.4672131147540984	73	0.5205479452054794	55	0.509090909090909	25	0.4	87	0.5517241379310345	49	0.5714285714285714	151	0.4966887417218543	15	0.5333333333333333	
-10	70	0.5571428571428572	22	0.45454545454545453	105	0.5428571428571428	48	0.5416666666666666	15	0.4	154	0.44805194805194803	199	0.5276381909547738	39	0.5128205128205128	115	0.5565217391304348	83	0.5060240963855421	33	0.3333333333333333	41	0.5121951219512195	94	0.5106382978723404	115	0.48695652173913045	213	0.47417840375586856	27	0.48148148148148145	109	0.5321100917431193	44	0.5	44	0.45454545454545453	60	0.5833333333333334	
-11	51	0.49019607843137253	82	0.5121951219512195	193	0.45077720207253885	95	0.47368421052631576	116	0.5172413793103449	121	0.5289256198347108	80	0.55	122	0.4426229508196721	114	0.5087719298245614	155	0.5483870967741935	94	0.5638297872340425	26	0.38461538461538464	54	0.5	79	0.5316455696202531	154	0.525974025974026	46	0.5869565217391305	152	0.5592105263157895	117	0.48717948717948717	116	0.5344827586206896	92	0.43478260869565216	
-12	65	0.5692307692307692	89	0.4943820224719101	490	0.4714285714285714	172	0.5348837209302325	155	0.4838709677419355	25	0.48	169	0.5502958579881657	56	0.4642857142857143	267	0.5168539325842697	138	0.427536231884058	103	0.5922330097087378	251	0.49800796812749004	59	0.4406779661016949	114	0.5789473684210527	48	0.625	228	0.5175438596491229	203	0.5024630541871922	98	0.5	85	0.5529411764705883	44	0.36363636363636365	
